,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
250,0.0124,Rattachés et meulés,620.346,12.7829,0.025,0.0206,EN 10270-1,M,140988.0,0.0062569999999999995,0.0031,3.5,d-288z-02,"{1: 3.02, 450: 0.43, 37: 1.0, 17: 1.28, 7: 2.52, 250: 0.5, 75: 0.86, 125: 0.57, 350: 0.46, 175: 0.54}",0.00163
251,0.005,Rattachés et meulés,9.739,0.1097,0.0075,0.00272,EN 10270-1,B,2037.9999999999998,0.0028,0.0005,2.5,d-069a,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00115
252,0.0063,Rattachés et meulés,21.664,0.4325,0.0105,0.00521,EN 10270-3-1.4310,G,4094.9999999999995,0.002771,0.0008,3.5,vd-128,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.0023799999999999997
253,0.0054,Rattachés et meulés,62.423,0.9558,0.013699999999999999,0.00948,EN 10270-3-1.4310,G,14792.0,0.002291,0.0011,5.5,vd-180d-02,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00164
254,0.011,Rattachés et meulés,1.131,0.7777,0.0494,0.01499,EN 10270-3-1.4310,F,33.0,0.003912,0.0005,12.5,vd-063h-13,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.034409999999999996
255,0.005,Rattachés,4.488,0.2262,0.0358,0.00891,EN 10270-1,B,167.0,0.002784,0.0004,12.5,d-046b,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00864
256,0.024,Rattachés et meulés,409.553,21.5697,0.032,0.01875,EN 10270-1,L,30910.0,0.011519999999999999,0.0032,2.5,d-303a-10,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.005
257,0.0144,Rattachés et meulés,636.637,63.698,0.0906,0.07338,EN 10270-1,AA,36971.0,0.005613000000000001,0.0036,15.5,d-313r,"{1: 10.4, 75: 1.19, 3: 4.62, 37: 1.22, 17: 1.47, 250: 1.06, 7: 2.72, 125: 1.14, 350: 1.02, 175: 1.12}",0.01011
258,0.0087,Rattachés et meulés,116.693,3.733,0.014,0.01235,EN 10270-1,F,70723.0,0.0034289999999999998,0.002,3.5,d-262b,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00165
259,0.0564,Rattachés et meulés,219.079,106.9216,0.188,0.040909999999999995,EN 10270-3-1.4310,AF,1489.0,0.033527,0.0036,5.5,vd-313c,"{1: 11.3, 75: 1.86, 3: 5.54, 37: 1.93, 17: 2.31, 250: 1.72, 7: 3.57, 125: 1.81, 350: 1.67, 175: 1.78}",0.03587
